constraint_catalog                      constraint_schema                       constraint_name                         table_catalog                           table_schema                            table_name                              column_name                             ordinal_position                        KeyType                                 index_name                              
TestSite                                dbo                                     PK_PE_Coupon                            TestSite                                dbo                                     PE_Coupon                               CouponID                                1                                       56                                      PK_PE_Coupon                            
TestSite                                dbo                                     PK_PE_CouponItem                        TestSite                                dbo                                     PE_CouponItem                           ID                                      1                                       56                                      PK_PE_CouponItem                        
TestSite                                dbo                                     PK_PE_Courier_CourierId                 TestSite                                dbo                                     PE_Courier                              CourierId                               1                                       56                                      PK_PE_Courier_CourierId                 
TestSite                                dbo                                     IX_PE_DeliverCharge_AreaType            TestSite                                dbo                                     PE_DeliverCharge                        AreaType                                1                                       56                                      IX_PE_DeliverCharge_AreaType            
TestSite                                dbo                                     IX_PE_DeliverCharge_DeliverTypeID       TestSite                                dbo                                     PE_DeliverCharge                        DeliverTypeID                           1                                       56                                      IX_PE_DeliverCharge_DeliverTypeID       
TestSite                                dbo                                     PK_PE_DeliverCharge_ID                  TestSite                                dbo                                     PE_DeliverCharge                        ID                                      1                                       56                                      PK_PE_DeliverCharge_ID                  
TestSite                                dbo                                     IX_PE_DeliverItem_OrderID               TestSite                                dbo                                     PE_DeliverItem                          OrderID                                 1                                       56                                      IX_PE_DeliverItem_OrderID               
TestSite                                dbo                                     PK_PE_DeliverItem_DeliverID             TestSite                                dbo                                     PE_DeliverItem                          DeliverID                               1                                       56                                      PK_PE_DeliverItem_DeliverID             
TestSite                                dbo                                     PK_PE_DeliverItemDetails                TestSite                                dbo                                     PE_DeliverItemDetails                   DeliverItemDetailsID                    1                                       56                                      PK_PE_DeliverItemDetails                
TestSite                                dbo                                     PK_PE_DeliverType_TypeID                TestSite                                dbo                                     PE_DeliverType                          TypeID                                  1                                       56                                      PK_PE_DeliverType_TypeID                
TestSite                                dbo                                     PK_PE_Department                        TestSite                                dbo                                     PE_Department                           DepartmentId                            1                                       56                                      PK_PE_Department                        
TestSite                                dbo                                     PK_PE_Dictionary_FieldID                TestSite                                dbo                                     PE_Dictionary                           FieldID                                 1                                       56                                      PK_PE_Dictionary_FieldID                
TestSite                                dbo                                     PK_PE_DownloadError_ErrorID             TestSite                                dbo                                     PE_DownloadError                        ErrorID                                 1                                       56                                      PK_PE_DownloadError_ErrorID             
TestSite                                dbo                                     PK_PE_DownServer_ServerID               TestSite                                dbo                                     PE_DownServer                           ServerID                                1                                       56                                      PK_PE_DownServer_ServerID               
TestSite                                dbo                                     PK_PE_Favorite_FavoriteID               TestSite                                dbo                                     PE_Favorite                             FavoriteID                              1                                       56                                      PK_PE_Favorite_FavoriteID               
TestSite                                dbo                                     PK_PE_Files_ID                          TestSite                                dbo                                     PE_Files                                ID                                      1                                       56                                      PK_PE_Files_ID                          
TestSite                                dbo                                     PK_PE_FlowProcess                       TestSite                                dbo                                     PE_FlowProcess                          ProcessID                               1                                       56                                      PK_PE_FlowProcess                       
TestSite                                dbo                                     IX_PE_Friend_AddTime                    TestSite                                dbo                                     PE_Friend                               AddTime                                 1                                       61                                      IX_PE_Friend_AddTime                    
TestSite                                dbo                                     IX_PE_Friend_GroupID                    TestSite                                dbo                                     PE_Friend                               GroupID                                 1                                       56                                      IX_PE_Friend_GroupID                    
TestSite                                dbo                                     PK_PE_Friend_ID                         TestSite                                dbo                                     PE_Friend                               ID                                      1                                       56                                      PK_PE_Friend_ID                         
TestSite                                dbo                                     PK_PE_GroupFieldPermissions             TestSite                                dbo                                     PE_GroupFieldPermissions                FieldName                               4                                       231                                     PK_PE_GroupFieldPermissions             
TestSite                                dbo                                     PK_PE_GroupFieldPermissions             TestSite                                dbo                                     PE_GroupFieldPermissions                GroupID                                 1                                       56                                      PK_PE_GroupFieldPermissions             
TestSite                                dbo                                     PK_PE_GroupFieldPermissions             TestSite                                dbo                                     PE_GroupFieldPermissions                IdType                                  5                                       56                                      PK_PE_GroupFieldPermissions             
TestSite                                dbo                                     PK_PE_GroupFieldPermissions             TestSite                                dbo                                     PE_GroupFieldPermissions                ModelID                                 3                                       56                                      PK_PE_GroupFieldPermissions             
TestSite                                dbo                                     PK_PE_GroupFieldPermissions             TestSite                                dbo                                     PE_GroupFieldPermissions                OperateCode                             2                                       56                                      PK_PE_GroupFieldPermissions             
TestSite                                dbo                                     PK_PE_GroupNodePermissions              TestSite                                dbo                                     PE_GroupNodePermissions                 GroupID                                 1                                       56                                      PK_PE_GroupNodePermissions              
TestSite                                dbo                                     PK_PE_GroupNodePermissions              TestSite                                dbo                                     PE_GroupNodePermissions                 IdType                                  4                                       56                                      PK_PE_GroupNodePermissions              
TestSite                                dbo                                     PK_PE_GroupNodePermissions              TestSite                                dbo                                     PE_GroupNodePermissions                 NodeID                                  3                                       56                                      PK_PE_GroupNodePermissions              
TestSite                                dbo                                     PK_PE_GroupNodePermissions              TestSite                                dbo                                     PE_GroupNodePermissions                 OperateCode                             2                                       56                                      PK_PE_GroupNodePermissions              
TestSite                                dbo                                     PK_PE_GroupSpecialCategoryPermissions   TestSite                                dbo                                     PE_GroupSpecialCategoryPermissions      GroupID                                 1                                       56                                      PK_PE_GroupSpecialCategoryPermissions   
TestSite                                dbo                                     PK_PE_GroupSpecialCategoryPermissions   TestSite                                dbo                                     PE_GroupSpecialCategoryPermissions      IDType                                  4                                       56                                      PK_PE_GroupSpecialCategoryPermissions   
TestSite                                dbo                                     PK_PE_GroupSpecialCategoryPermissions   TestSite                                dbo                                     PE_GroupSpecialCategoryPermissions      OperateCode                             2                                       56                                      PK_PE_GroupSpecialCategoryPermissions   
TestSite                                dbo                                     PK_PE_GroupSpecialCategoryPermissions   TestSite                                dbo                                     PE_GroupSpecialCategoryPermissions      SpecialCategoryID                       3                                       56                                      PK_PE_GroupSpecialCategoryPermissions   
TestSite                                dbo                                     PK_PE_GroupSpecialPermissions           TestSite                                dbo                                     PE_GroupSpecialPermissions              GroupID                                 1                                       56                                      PK_PE_GroupSpecialPermissions           
